ID,Country,psat_cr,psat_m,psat_w,psat_tot,igcse_lit,igcse_fle,igcse_m
210,Argentina A,40,39,38,117,47,63,56
211,Argentina A,45,47,45,137,76,102,134
212,Argentina A,46,52,43,141,66,93,137
213,Argentina A,41,45,43,129,58,79,87
214,Argentina A,49,50,43,142,68,91,121
215,Argentina A,59,62,62,183,72,105,194
216,Argentina A,51,43,35,129,80,80,116
217,Argentina A,45,49,51,145,52,80,116
218,Argentina A,36,41,21,98,36,59,58
219,Argentina A,56,50,44,150,68,95,162
220,Argentina B,41,43,45,129,46,85,85
221,Argentina B,48,49,44,141,65,93,149
222,Argentina B,48,54,51,153,71,95,106
223,Argentina B,44,41,42,127,61,77,85
224,Argentina B,54,47,58,159,73,98,68
225,Argentina B,38,54,35,127,57,86,137
226,Argentina B,44,47,41,132,69,80,102
227,Argentina B,41,53,27,121,73,87,167
228,Argentina C,41,58,52,151,54,50,125
229,Argentina C,67,64,62,193,81,66,131
230,Argentina C,48,50,49,147,60,50,116
231,Argentina C,40,44,38,122,40,50,131
232,Argentina C,46,54,58,158,59,61,107
233,Argentina C,29,43,32,104,40,45,119
234,Argentina C,32,38,23,93,34,45,141
235,Argentina C,40,41,43,124,52,53,124
236,Argentina C,40,53,37,130,52,52,136
237,Argentina C,30,52,35,117,53,55,109
238,Argentina D,43,45,47,135,69,54,106
239,Argentina D,55,53,42,150,55,62,105
240,Argentina D,51,60,45,156,87,73,155
241,Argentina D,62,72,69,203,67,69,194
242,Argentina D,48,47,44,139,78,74,142
243,Argentina E,34,47,43,124,60,91,124
244,Argentina E,38,48,29,115,37,76,124
245,Argentina E,48,48,45,141,45,76,131
246,Argentina E,35,44,35,114,33,75,86
247,Argentina E,39,49,30,118,43,71,109
248,Argentina E,35,30,30,95,42,83,68
249,Argentina E,35,43,43,121,55,90,125
250,Argentina E,44,45,44,133,33,60,122
251,Argentina E,44,68,44,156,54,87,175
252,Argentina E,42,42,39,123,43,74,118
253,Argentina F,33,36,38,107,49,54,111
254,Argentina F,40,39,36,115,39,56,94
255,Argentina F,48,53,43,144,79,71,134
256,Argentina F,51,54,40,145,59,54,104
257,Argentina F,40,53,40,133,54,62,142
258,Argentina F,48,39,43,130,52,50,133
259,Argentina F,39,53,44,136,56,53,109
260,Argentina F,57,60,48,165,51,61,146
261,Argentina F,44,49,48,141,58,54,135
262,Argentina F,47,33,35,115,47,64,109
263,Argentina F,40,41,48,129,59,67,117
264,Argentina F,39,47,42,128,39,56,122
265,Argentina F,52,45,47,144,67,67,84
266,Argentina F,38,45,47,130,53,61,95
267,Argentina F,41,43,37,121,51,52,119
303,Argentina G,35,36,36,107,44,56,80
304,Argentina G,54,52,51,157,61,77,130
305,Argentina G,59,68,56,183,70,82,160
306,Argentina G,33,45,38,116,32,60,74
307,Argentina G,38,57,45,140,58,67,169
308,Argentina G,38,52,36,126,42,47,87
309,Argentina G,40,37,38,115,35,58,131
310,Argentina G,38,31,37,106,26,40,109
311,Argentina G,41,43,43,127,58,70,103
312,Argentina G,34,39,30,103,16,41,104
313,Argentina G,51,58,49,158,60,69,173
314,Argentina G,47,50,43,140,39,64,75
315,Argentina G,49,49,56,154,51,69,108
316,Argentina G,35,47,40,122,44,56,94
317,Argentina G,40,36,29,105,47,63,115
318,Argentina H,43,50,45,138,48,93,101
319,Argentina H,35,38,36,109,35,58,75
320,Argentina H,55,44,60,159,69,106,119
321,Argentina H,33,34,36,103,25,78,75
322,Argentina H,27,30,26,83,29,64,69
323,Argentina H,40,39,35,114,65,73,130
324,Argentina H,57,60,47,164,64,98,184
325,Argentina H,33,42,33,108,36,71,62
326,Argentina H,45,70,53,168,50,105,197
327,Argentina H,29,62,26,117,21,63,66
328,Argentina H,40,47,37,124,38,75,121
329,Argentina H,34,38,26,98,30,66,80
330,Argentina H,44,52,39,135,54,81,154
331,Argentina H,43,57,36,136,62,88,155
332,Argentina H,55,58,58,171,59,96,164
149,Botswana A,63,42,62,167,74,80,120
150,Botswana A,48,53,47,148,49,61,149
151,Botswana A,60,68,60,188,66,74,187
152,Botswana A,51,42,62,155,74,66,114
153,Botswana A,53,61,51,165,65,61,189
154,Botswana A,43,50,56,149,57,59,175
155,Botswana A,46,58,52,156,72,59,146
156,Botswana A,44,47,43,134,72,66,183
157,Botswana A,33,44,44,121,48,51,82
158,Botswana A,46,49,42,137,64,66,145
159,Botswana A,43,41,44,128,63,64,135
293,Botswana B,51,56,52,159,76,58,164
294,Botswana B,53,53,45,151,67,65,146
295,Botswana B,46,48,45,139,61,61,114
296,Botswana B,52,44,47,143,72,61,131
297,Botswana B,45,36,38,119,57,58,111
298,Botswana B,36,41,44,121,47,62,101
299,Botswana B,48,47,43,138,81,69,132
300,Botswana B,41,43,43,127,50,56,97
301,Botswana B,35,50,41,126,51,48,148
302,Botswana B,44,36,51,131,58,63,112
92,New Zealand A,59,64,48,171,55,75,127
93,New Zealand A,48,21,53,122,44,68,90
94,New Zealand A,60,60,51,171,54,76,154
95,New Zealand A,45,62,35,142,45,60,166
96,New Zealand A,43,52,37,132,54,66,123
97,New Zealand A,48,53,37,138,51,67,133
98,New Zealand A,48,34,35,117,55,58,88
99,New Zealand A,39,50,36,125,40,62,186
100,New Zealand A,53,53,36,142,34,49,136
101,New Zealand A,39,49,42,130,50,62,132
102,New Zealand A,36,48,23,107,39,57,120
103,New Zealand B,54,65,52,171,73,72,148
104,New Zealand B,55,50,51,156,61,75,140
105,New Zealand B,53,39,47,139,59,64,133
106,New Zealand B,59,61,56,176,70,75,147
107,New Zealand B,48,48,47,143,56,65,118
108,New Zealand B,62,54,53,169,57,71,120
109,New Zealand B,69,60,57,186,90,85,145
110,New Zealand B,48,47,49,144,59,61,116
111,New Zealand B,47,52,45,144,59,57,83
112,New Zealand B,49,61,49,159,69,69,159
113,New Zealand B,58,52,44,154,64,68,134
114,New Zealand B,45,48,32,125,56,58,100
115,New Zealand B,46,44,36,126,59,69,122
116,New Zealand B,49,66,49,164,61,77,180
117,New Zealand C,53,62,57,172,68,63,185
118,New Zealand C,58,54,58,170,71,69,156
119,New Zealand C,39,47,40,126,51,49,81
120,New Zealand C,53,48,51,152,50,61,110
121,New Zealand C,56,36,60,152,57,66,104
122,New Zealand C,46,37,36,119,63,61,141
123,New Zealand C,44,50,41,135,50,61,108
124,New Zealand C,55,57,53,165,64,64,172
125,New Zealand C,53,48,51,152,59,63,129
126,New Zealand C,41,52,38,131,55,48,95
127,New Zealand C,54,65,53,172,78,68,166
128,New Zealand C,40,52,47,139,45,56,144
129,New Zealand C,39,49,48,136,52,63,80
130,New Zealand C,34,44,37,115,51,54,67
131,New Zealand C,41,49,44,134,34,50,89
132,New Zealand D,62,53,49,164,59,69,180
133,New Zealand D,51,57,49,157,46,54,104
134,New Zealand D,42,53,34,129,54,45,88
135,New Zealand D,54,58,49,161,51,58,151
136,New Zealand D,64,62,58,184,71,60,174
137,New Zealand D,54,66,52,172,74,49,182
138,New Zealand D,53,60,53,166,54,59,158
160,New Zealand E,54,52,45,151,104,65,161
161,New Zealand E,38,47,41,126,70,50,138
162,New Zealand E,44,41,38,123,72,56,143
163,New Zealand E,53,47,44,144,48,51,120
164,New Zealand E,34,37,30,101,62,55,99
165,New Zealand E,60,60,60,180,88,71,144
166,New Zealand E,44,39,41,124,83,60,74
167,New Zealand E,39,28,35,102,52,59,85
168,New Zealand E,36,39,36,111,56,56,56
169,New Zealand E,45,74,37,156,84,60,193
170,New Zealand E,46,56,38,140,94,78,143
171,New Zealand E,25,54,30,109,71,60,114
172,New Zealand E,48,44,44,136,95,58,114
173,New Zealand E,51,62,35,148,78,47,147
174,New Zealand E,64,49,53,166,66,53,100
268,New Zealand F,33,54,42,129,42,43,171
269,New Zealand F,51,49,52,152,28,51,129
270,New Zealand F,53,52,42,147,40,61,75
271,New Zealand F,49,47,43,139,35,59,107
272,New Zealand F,27,45,26,98,37,49,153
273,New Zealand F,23,62,27,112,61,49,185
274,New Zealand F,44,43,32,119,40,58,103
275,New Zealand F,57,62,42,161,65,50,114
276,New Zealand F,42,20,38,100,46,59,62
277,New Zealand F,58,56,54,168,50,59,146
278,New Zealand F,37,31,32,100,38,58,96
279,New Zealand F,59,68,53,180,68,66,156
280,New Zealand F,54,54,49,157,43,40,117
281,New Zealand F,34,38,38,110,34,57,88
282,New Zealand F,42,45,38,125,46,60,100
200,Nigeria A,38,31,42,111,54,48,34
201,Nigeria A,39,34,34,107,52,61,26
202,Nigeria A,39,34,35,108,38,44,33
203,Nigeria A,43,52,49,144,56,55,79
204,Nigeria A,48,42,53,143,60,57,58
205,Nigeria A,44,48,47,139,45,58,90
206,Nigeria A,45,37,45,127,43,53,29
207,Nigeria A,36,34,40,110,41,61,23
208,Nigeria A,48,43,43,134,43,60,31
209,Nigeria A,42,36,44,122,60,48,66
333,Nigeria B,39,34,33,106,23,48,71
334,Nigeria B,53,49,49,151,41,71,78
335,Nigeria B,60,39,49,148,48,68,74
336,Nigeria B,58,37,47,142,61,65,70
337,Nigeria B,55,54,37,146,65,83,123
338,Nigeria B,47,41,47,135,44,56,93
339,Nigeria B,69,62,62,193,69,75,153
340,Nigeria B,60,60,49,169,53,79,156
341,Nigeria B,37,45,34,116,28,45,79
342,Nigeria B,41,39,41,121,42,58,62
1,Swaziland A,57,61,49,167,77,83,194
2,Swaziland A,48,60,53,161,58,67,142
3,Swaziland A,51,62,45,158,90,75,160
4,Swaziland A,55,58,45,158,52,74,150
5,Swaziland A,66,49,57,172,79,79,143
6,Swaziland A,46,38,52,136,77,72,107
7,Swaziland A,59,58,57,174,72,73,162
8,Swaziland A,45,54,39,138,68,63,160
9,Swaziland A,49,50,48,147,54,76,153
10,Swaziland A,52,50,49,151,62,73,166
51,Zambia A,51,44,48,143,81,64,121
52,Zambia A,27,36,40,103,31,42,123
53,Zambia A,55,50,49,154,67,62,141
54,Zambia A,60,58,54,172,67,72,163
55,Zambia A,36,38,37,111,61,51,125
56,Zambia A,51,52,48,151,64,56,131
57,Zambia A,57,49,52,158,80,60,142
58,Zambia A,47,54,49,150,63,56,134
59,Zambia A,46,50,41,137,59,44,128
60,Zambia A,38,41,38,117,63,45,114
61,Zambia A,60,58,56,174,92,84,180
62,Zambia A,36,58,52,146,77,79,180
63,Zambia B,45,42,41,128,67,64,109
64,Zambia B,51,45,45,141,51,74,81
65,Zambia B,52,39,48,139,70,72,120
66,Zambia B,46,41,42,129,36,52,89
139,Zambia C,36,52,37,125,40,55,130
140,Zambia C,38,57,40,135,48,60,133
141,Zambia C,43,48,48,139,39,56,122
142,Zambia C,51,49,44,144,41,69,132
143,Zambia C,53,56,54,163,48,73,179
144,Zambia C,62,50,60,172,59,69,143
145,Zambia C,43,37,40,120,40,57,143
146,Zambia C,51,49,51,151,50,62,127
147,Zambia C,40,52,41,133,53,71,180
148,Zambia C,44,47,48,139,53,61,97
11,Zimbabwe A,48,48,53,149,57,69,149
12,Zimbabwe A,38,38,44,120,48,42,79
13,Zimbabwe A,46,50,45,141,57,71,119
14,Zimbabwe A,44,33,49,126,61,70,90
15,Zimbabwe A,64,52,62,178,90,88,145
16,Zimbabwe A,67,62,68,197,85,86,176
17,Zimbabwe A,39,49,48,136,50,70,134
18,Zimbabwe A,38,48,47,133,40,58,85
19,Zimbabwe A,51,60,51,162,65,64,164
20,Zimbabwe A,47,52,52,151,54,57,163
21,Zimbabwe A,45,56,47,148,53,70,152
22,Zimbabwe A,39,43,45,127,58,54,109
23,Zimbabwe A,43,53,44,140,76,70,172
24,Zimbabwe A,47,60,49,156,78,80,185
25,Zimbabwe A,49,44,49,142,67,71,112
26,Zimbabwe B,54,57,51,162,94,71,158
27,Zimbabwe B,51,49,51,151,62,76,105
28,Zimbabwe B,59,60,62,181,77,76,154
29,Zimbabwe B,47,50,38,135,56,62,107
30,Zimbabwe B,67,62,66,195,83,81,146
31,Zimbabwe B,53,53,60,166,82,70,156
32,Zimbabwe B,51,61,45,157,83,78,173
33,Zimbabwe B,35,28,47,110,54,70,116
34,Zimbabwe B,45,49,54,148,89,80,164
35,Zimbabwe B,60,53,56,169,86,75,169
36,Zimbabwe B,58,44,51,153,75,75,123
37,Zimbabwe B,45,43,48,136,70,67,146
38,Zimbabwe B,62,41,57,160,81,77,61
39,Zimbabwe B,52,42,48,142,61,81,103
40,Zimbabwe B,48,47,49,144,63,79,97
41,Zimbabwe C,48,53,48,149,70,67,161
42,Zimbabwe C,39,50,51,140,48,64,169
43,Zimbabwe C,59,62,51,172,81,68,153
44,Zimbabwe C,53,65,62,180,65,64,187
45,Zimbabwe C,41,52,48,141,64,67,156
46,Zimbabwe C,45,53,52,150,66,67,150
47,Zimbabwe C,48,64,52,164,81,69,172
48,Zimbabwe C,45,56,56,157,74,58,173
49,Zimbabwe C,64,62,51,177,75,76,139
50,Zimbabwe C,55,52,60,167,65,59,113
67,Zimbabwe D,49,56,52,157,61,69,108
68,Zimbabwe D,60,56,61,177,82,82,156
69,Zimbabwe D,34,58,35,127,62,59,169
70,Zimbabwe D,54,60,52,166,75,72,178
71,Zimbabwe D,38,38,43,119,57,73,100
72,Zimbabwe D,53,49,49,151,53,59,148
73,Zimbabwe D,43,44,45,132,43,69,133
74,Zimbabwe D,42,48,42,132,52,48,145
75,Zimbabwe D,48,41,52,141,52,70,121
76,Zimbabwe D,42,52,51,145,66,70,136
77,Zimbabwe D,39,37,39,115,49,55,107
78,Zimbabwe D,43,64,51,158,52,73,182
79,Zimbabwe D,49,50,45,144,46,71,117
80,Zimbabwe D,40,45,43,128,50,73,137
81,Zimbabwe D,47,45,49,141,64,59,121
82,Zimbabwe E,46,53,52,151,62,61,148
83,Zimbabwe E,41,48,43,132,49,43,124
84,Zimbabwe E,41,58,53,152,63,59,157
85,Zimbabwe E,41,48,42,131,69,57,131
86,Zimbabwe E,41,49,49,139,46,58,121
87,Zimbabwe E,39,42,43,124,53,51,91
88,Zimbabwe E,27,21,43,91,46,43,82
89,Zimbabwe E,34,37,32,103,42,55,103
90,Zimbabwe E,39,47,41,127,76,69,124
91,Zimbabwe E,40,42,43,125,51,67,98
175,Zimbabwe F,44,37,48,129,59,69,111
176,Zimbabwe F,48,39,41,128,71,66,114
177,Zimbabwe F,71,64,75,210,91,83,196
178,Zimbabwe F,49,61,57,167,66,74,190
179,Zimbabwe F,57,42,45,144,59,74,145
180,Zimbabwe F,51,52,51,154,56,78,177
181,Zimbabwe F,66,60,60,186,65,72,162
182,Zimbabwe F,60,62,58,180,51,65,179
183,Zimbabwe F,53,52,57,162,69,76,146
184,Zimbabwe F,46,56,48,150,66,66,157
185,Zimbabwe F,45,52,42,139,78,58,165
186,Zimbabwe F,64,52,56,172,86,66,126
187,Zimbabwe F,35,30,36,101,50,44,107
188,Zimbabwe F,63,48,56,167,69,88,147
189,Zimbabwe F,62,50,52,164,67,72,125
190,Zimbabwe G,44,49,41,134,75,73,123
191,Zimbabwe G,38,48,37,123,60,69,148
192,Zimbabwe G,40,45,38,123,66,61,122
193,Zimbabwe G,39,44,45,128,62,64,130
194,Zimbabwe G,49,52,45,146,65,70,145
195,Zimbabwe G,44,53,41,138,51,58,147
196,Zimbabwe G,38,42,41,121,70,57,132
197,Zimbabwe G,42,52,47,141,65,62,141
198,Zimbabwe G,44,62,48,154,60,64,164
199,Zimbabwe G,45,49,42,136,66,54,117
283,Zimbabwe H,58,44,41,143,80,55,147
284,Zimbabwe H,44,56,47,147,70,84,184
285,Zimbabwe H,52,44,52,148,68,64,134
286,Zimbabwe H,43,42,41,126,37,50,138
287,Zimbabwe H,58,67,57,182,62,72,167
288,Zimbabwe H,52,50,58,160,63,72,151
289,Zimbabwe H,63,64,64,191,75,82,164
290,Zimbabwe H,51,48,40,139,49,45,143
291,Zimbabwe H,57,66,62,185,58,73,189
292,Zimbabwe H,59,61,52,172,61,68,183
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
